user_id,user_journey
279886,Other-Log in-Log in-Homepage-Career tracks-Career tracks-Career track certificate-Career track certificate-Career tracks-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Homepage-Success stories-Career track certificate-Homepage-Career tracks-Log in-Log in-Log in-Homepage-Career tracks-Courses-Log in-Homepage-Career tracks-Success stories-Homepage-Career tracks-Homepage-Career tracks-Courses-Pricing-Checkout-Success stories-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Other-Pricing-Homepage-Career tracks-Career tracks-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Log in-Other-Sign up-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Pricing-Homepage-Homepage-Career tracks-Courses-Career tracks-Log in-Homepage-Homepage-Career tracks-Courses-Career tracks-Homepage-Pricing-Pricing-Resources center-Career track certificate-Courses-Homepage-Career tracks-Homepage-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Resources center-Courses-Pricing-Checkout-Pricing-Career tracks-Homepage-Resources center-Course certificate-Courses-Courses-Course certificate-Career track certificate-Course certificate-Courses-Courses-Courses-Courses-Courses-Homepage-Homepage-Career tracks-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Courses-Courses-Homepage-Courses-Courses-Courses-Courses-Homepage-Courses-Log in-Courses-Pricing-Courses-Other-Courses-Other-Courses-Other-Log in-Other-Other-Log in-Other-Homepage-Career tracks-Homepage-Career tracks-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Homepage-Pricing-Courses-Career track certificate-Career tracks-Courses-Career tracks-Pricing-Career tracks-Career tracks-Courses-Career tracks-Other-Log in-Career tracks-Homepage-Sign up-Homepage-Career tracks-Homepage-Coupon
280244,Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Pricing-Log in-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Sign up-Log in-Homepage-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Homepage-Sign up-Log in-Checkout
281132,Homepage-Career track certificate-Sign up-Homepage-Career track certificate-Pricing-Career track certificate-Upcoming courses-Career tracks-Homepage-Sign up-Coupon-Homepage-Career track certificate-Pricing-Courses-Career tracks-Pricing-Checkout-Pricing-Other-Homepage-Pricing-Career track certificate-Resources center-Other-Pricing-Career tracks-Career tracks-Career track certificate-Other-Coupon-Coupon
282606,Homepage-Career track certificate-Sign up-Coupon
282927,Courses-Log in-Sign up-Log in-Checkout-Coupon-Sign up-Log in-Courses-Sign up-Log in
282998,Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Resources center-Other-Courses-Career tracks-Courses-Career track certificate-Sign up-Log in-Log in-Log in-Log in-Checkout
283073,Other-Homepage-Sign up-Log in-Homepage-Sign up-Log in
284423,Courses-Career track certificate-Courses-Courses-Sign up-Coupon-Homepage-Pricing-Coupon
284947,Other-Career tracks-Sign up-Other-Sign up-Log in-Resources center-Course certificate-Coupon
285057,Homepage-Course certificate-Courses-Career tracks-Courses-Log in-Homepage-Log in-Log in-Log in-Courses-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Pricing-Pricing-Checkout-Log in-Homepage-Pricing-Log in-Homepage-Pricing-Homepage-Pricing-Homepage-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Log in-Checkout-Checkout
285400,Other-Homepage-Resources center-Homepage-Resources center-Other-Log in-Homepage-Pricing-Resources center-Homepage-Pricing-Resources center-Log in-Coupon-Coupon-Checkout
286605,Homepage-Sign up-Sign up-Other-Sign up-Other-Log in-Courses-Log in-Courses-Career tracks-Other-Career track certificate-Other-Resources center-Other-Coupon-Resources center-Other-Coupon-Coupon-Other-Sign up-Resources center-Other-Resources center-Homepage-Log in-Coupon-Coupon-Log in-Other-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Homepage-Career tracks-Coupon-Coupon-Coupon
286986,Pricing-Courses-Sign up-Courses-Pricing-Sign up-Pricing-Sign up-Homepage-Sign up-Log in-Log in-Log in-Checkout-Log in-Checkout
287136,Pricing-Sign up-Log in-Sign up-Homepage-Log in-Checkout-Checkout-Checkout
287530,Career tracks-Courses-Career tracks-Sign up-Homepage-Career tracks-Homepage-Courses-Career tracks-Log in-Career tracks-Career tracks-Courses-Homepage-Pricing-Homepage-Career tracks-Courses-Homepage-Career tracks-Courses-Sign up-Homepage-Career tracks-Courses-Career tracks-Courses-Sign up-Homepage-Log in-Homepage-Log in-Log in-Homepage-Career tracks-Homepage-Resources center-Homepage-Resources center-Homepage-Resources center-Other-Homepage-Homepage-Log in-Checkout
288416,Homepage-Pricing-Courses-Career tracks-Career tracks-Sign up-Pricing-Sign up-Homepage-Pricing-Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Career tracks-Career tracks-Sign up-Career tracks-Checkout
289110,Other-Homepage-Career tracks-Sign up-Log in-Log in-Log in-Log in-Checkout-Checkout
289169,Homepage-Pricing-Sign up-Coupon
289171,Other-Coupon-Homepage-Sign up-Coupon
289359,Homepage-Other-Homepage-Pricing-Homepage-Sign up-Homepage-Log in-Log in-Homepage-Pricing-Course certificate-Pricing-Course certificate-Career track certificate-Homepage-Pricing-Career track certificate-Career tracks-Career tracks-Log in-Checkout-Checkout
289370,Homepage-Sign up-Other-Pricing-Courses-Log in-Other-Sign up-Homepage-Courses-Log in-Homepage-Log in-Checkout-Checkout-Log in-Sign up-Log in-Checkout-Log in-Sign up-Log in-Checkout-Log in-Log in-Checkout-Log in-Checkout-Log in-Checkout-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Sign up-Log in-Checkout
289379,Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Courses-Homepage-Courses-Sign up-Log in-Checkout
289748,Homepage-Pricing-Checkout-Pricing-Career tracks-Career tracks-Sign up-Career track certificate-Homepage-Homepage-Career tracks-Courses-Courses-Log in-Log in-Coupon-Coupon-Checkout-Coupon-Coupon-Checkout-Coupon-Coupon-Coupon-Checkout
289842,Courses-Sign up-Sign up-Log in-Sign up-Coupon-Other-Homepage-Career track certificate-Coupon-Homepage-Sign up-Log in-Coupon-Coupon
289919,Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Resources center-Resources center-Pricing-Log in-Checkout-Checkout
289988,Courses-Courses-Other-Courses-Log in-Courses-Pricing-Courses-Log in-Homepage-Career tracks-Courses-Courses-Sign up-Log in-Homepage-Log in-Checkout
290258,Other-Pricing-Career track certificate-Course certificate-Career track certificate-Sign up-Career track certificate-Sign up-Courses-Courses-Homepage-Log in-Log in-Other-Resources center-Success stories-Checkout-Coupon
290289,Homepage-Log in-Other-Sign up-Log in-Checkout
290527,Other-Other-Log in-Checkout
